Species,Latitude,Longitude,x,y
52,72.76273623033602,-157.56996954980195,547294.4541685744,8074576.38141642
52,72.76213075808614,-157.56666517226034,547405.3325479862,8074511.466427433
52,72.82590046408203,-158.06169016891016,530923.3914626077,8081300.585855424
52,72.76369038949292,-157.5827990342345,546867.7104175916,8074672.721906273
52,72.73291562335913,-157.28994106372085,556648.3795986639,8071493.498240156
52,72.7583713147248,-157.07114873274801,563802.8062656354,8074551.55164753
52,72.72723001765746,-157.25553216023442,557806.3793451824,8070892.327026653
52,72.72558674505532,-157.33897382100906,555047.1037475368,8070630.613002778
52,72.73353048566206,-157.24361951868866,558180.4548872585,8071606.3881977685
52,72.73797028645691,-157.23325176442475,558509.2169223862,8072111.537458107
52,72.72761505597956,-157.29515101442132,556492.6331318001,8070897.524384145
52,72.75310294711286,-157.56093727692917,547618.8967007233,8073509.2095452305
52,72.75733111307704,-157.55081958145706,547942.2421358019,8073988.797187148
52,72.75307359705366,-157.56080075719825,547623.4919222972,8073506.04476266
52,72.75708906443289,-157.55981490669475,547645.3559349203,8073954.637115732
52,72.75506106848972,-157.5593926763151,547664.7541439702,8073728.8081170125
52,72.89748877676656,-158.10675040073107,529319.4977355639,8089262.880011501
52,72.72779303978038,-157.3420346552053,554938.8896773343,8070873.834392234
52,72.90684349706314,-158.01066407363723,532455.9098547186,8090355.810737338
52,72.72665200752637,-157.29944832341263,556353.3145601318,8070786.094322682
52,72.72843853028186,-157.27552850521013,557140.0526224719,8071007.930803156
52,72.73784601873186,-157.1692229342484,560629.4917138091,8072161.2558197975
52,72.75840850258507,-157.00845358441683,565875.8295376713,8074623.463947002
52,72.73242008584666,-157.25253550152075,557888.7940541059,8071473.946451123
52,72.73239654526397,-157.2584577283851,557692.7327000889,8071465.617030592
52,72.72878730093575,-157.2963632690685,556448.7605247548,8071027.099539865
52,72.72804384551742,-157.40785020544962,552757.7334172834,8070842.733559799
52,72.72753208527637,-157.2804569916557,556979.6861091065,8070902.167477474
52,72.72594508302157,-157.2716759748292,557275.6848982722,8070733.564429576
52,72.72874053240942,-157.23931938204095,558338.5390084784,8071076.452239956
52,72.72533758542723,-157.26474837928504,557507.163452167,8070672.450176025
52,72.75365327328626,-157.03431206667167,565038.1470123234,8074065.062042288
52,72.72639636276931,-157.26693844620976,557431.1906516358,8070788.414350225
52,72.73340002179364,-157.20292803665026,559528.4441785973,8071631.757757583
52,72.7322386798816,-157.22453998895037,558816.5661259065,8071480.946871803
52,72.7316470462579,-157.20826261453823,559357.6214744864,8071431.007100965
52,72.72884105391886,-157.24733072270226,558072.8314226768,8071079.889031552
52,72.72892896580124,-157.40001726632497,553014.5988279621,8070948.341466707
52,72.7312298326033,-157.38008375145836,553668.0124559681,8071222.6413827045
52,72.72785618674773,-157.40005053513565,553016.6875076432,8070828.68212549
52,72.72725827476212,-157.27565201779393,557139.7444257388,8070876.204933691
52,72.72861034800168,-157.23247152728652,558565.8049815748,8071068.607285112
52,72.72846854656473,-157.22904317129635,558679.8381940863,8071056.145342975
52,72.72536537023223,-157.29545132839357,556489.812818759,8070646.380983165
52,72.72358981752899,-157.26772356599272,557414.2171337446,8070474.711167506
52,72.74274573167197,-157.72541232890458,542201.7137011992,8072231.002104971
52,72.73992301325436,-157.72972899018694,542065.4743039088,8071913.160263524
52,72.72817814334059,-157.26340120647257,557542.6280800025,8070990.48586415
52,72.7285764149851,-157.246218588501,558110.5341200946,8071051.456772164
52,72.91475598567679,-157.82259977582694,538607.5030313275,8091349.814889736
52,72.92121554280712,-157.8262681224605,538473.1204871617,8092067.907086262
52,72.9294972245228,-157.82003531765938,538659.211812293,8092995.595051789
52,72.99372309672695,-157.80913056235943,538874.0707830775,8100165.934056509
52,72.94108909904429,-157.80075720288497,539264.8724218175,8094300.995778928
52,72.81176725378963,-157.8461780046806,538055.5268933018,8079848.169832746
52,72.96884514078913,-157.78526912251115,539709.1530326753,8097406.885213482
52,72.92983345416596,-157.80382800141373,539189.400573193,8093043.621256461
51,72.9097391148372,-157.83091247249558,538345.8719482907,8090784.93431962
52,72.40097043014173,-158.76459843415395,507944.12318606843,8033673.868725273
52,72.46229275970194,-158.5798671455172,514130.3814368643,8040548.006392885
52,72.7889261599512,-157.58938233905243,546583.8373913612,8077481.947519067
52,inf,inf,986626383214.4479,782175514551.9607
52,72.7147206332475,-158.13269234208857,528762.871239662,8068864.3809266705
52,72.93247227760973,-157.87310631382235,536914.395820734,8093293.953319208
52,73.02255287439628,-157.87374411451776,536704.6381842494,8103340.680594208
52,73.00747142949093,-157.87195037438974,536794.7670937573,8101659.669673799
52,73.01953596838486,-157.8658036756042,536969.7603383099,8103009.072356105
52,72.93691886136686,-157.8797047629289,536688.9975543643,8093785.848702358
52,72.94337876939777,-157.8775021011182,536747.6295783819,8094507.701097084
52,72.92969494683368,-157.87835588788997,536748.2480721156,8092980.959517931
