Channel,WAV,Begin Time (s),call_type,Repetition,localization
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,14457.711315633,52,3,8472.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,14466.097667342,52,3,8472.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,14454.847683343,52,3,8472.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15388.506941795,52,3,8914.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15393.379546329,52,3,8914.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15404.987810073,52,3,8914.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15400.975076927,52,3,8915.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15389.223501285,52,3,8915.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15383.920961056,52,3,8915.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15381.484658789,52,3,8916.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15386.64388712,52,3,8916.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15398.53877466,52,3,8916.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15394.669353412,52,3,8917.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15383.061089668,52,3,8917.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15377.471925643,52,3,8917.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15373.889128191,52,3,8918.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15379.048356522,52,3,8918.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15390.36999647,52,3,8918.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15386.213951425,52,3,8919.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15374.892311477,52,3,8919.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15369.733083147,52,3,8919.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15365.72035,52,3,8920.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15370.879578331,52,3,8920.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,15382.344530177,52,3,8920.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16413.881708793,52,3,9433.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16403.55217803,52,3,9433.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16397.31355054,52,3,9433.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16570.870352284,52,3,9427.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16576.086253957,52,3,9427.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16587.540783119,52,3,9427.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16583.245334683,52,3,9428.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16571.688532939,52,3,9428.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16566.472631267,52,3,9428.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16563.097636067,52,3,9429.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16568.313537739,52,3,9429.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16579.768066902,52,3,9429.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16577.108979775,52,3,9430.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16565.654450612,52,3,9430.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16560.336276358,52,3,9430.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16556.143100504,52,3,9431.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16561.461274758,52,3,9431.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16573.222621666,52,3,9431.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16588.15441861,52,3,9432.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16576.495344284,52,3,9432.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16571.483987775,52,3,9432.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16565.449905448,52,3,9433.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16570.563534539,52,3,9433.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16582.427154029,52,3,9433.0
2.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16576.802162029,52,3,9434.0
3.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16565.245360285,52,3,9434.0
4.0,20170618-000000_20170618-060000_CANAPE_multichannel_1245.wav,16560.234003776,52,3,9434.0
